buy_month	sell_month	pints_purchased	expected_profit
2026-01-01	2026-02-01	196556	-223387.64491764968
2026-01-01	2026-03-01	192767	-320447.8697174593
2026-01-01	2026-04-01	189121	-322137.8167613216
2026-01-01	2026-05-01	185611	-376522.855321303
2026-01-01	2026-06-01	182229	-428641.07777246705
2026-01-01	2026-07-01	178967	-443912.0167984782
2026-01-01	2026-08-01	175821	-409990.80123292864
2026-01-01	2026-09-01	172783	-394837.6178099534
2026-01-01	2026-10-01	169848	-359390.2439678372
2026-01-01	2026-11-01	167011	-293743.09706452105
2026-01-01	2026-12-01	164268	-245125.62401981908
2026-02-01	2026-03-01	213215	-248365.42653248436
2026-02-01	2026-04-01	208764	-251736.5908383238
2026-02-01	2026-05-01	204495	-313094.0072460491
2026-02-01	2026-06-01	200397	-371678.64671912417
2026-02-01	2026-07-01	196460	-389563.1288730161
2026-02-01	2026-08-01	192674	-353434.5047399271
2026-02-01	2026-09-01	189032	-337925.93863378384
2026-02-01	2026-10-01	185525	-300263.4358807005
2026-02-01	2026-11-01	182146	-229745.37166399148
2026-02-01	2026-12-01	178887	-177944.3444601352
2026-03-01	2026-04-01	237139	-150032.30899837788
2026-03-01	2026-05-01	231646	-221892.13070091873
2026-03-01	2026-06-01	226401	-290143.1526869915
2026-03-01	2026-07-01	221389	-312102.4662681434
2026-03-01	2026-08-01	216594	-273168.14959166467
2026-03-01	2026-09-01	212002	-257476.21530666295
2026-03-01	2026-10-01	207601	-217002.50800688018
2026-03-01	2026-11-01	203379	-139957.1117805423
2026-03-01	2026-12-01	199325	-84028.27969335753
2026-04-01	2026-05-01	233508	-215636.86523998505
2026-04-01	2026-06-01	228180	-284567.58365554025
2026-04-01	2026-07-01	223089	-306818.8631334902
2026-04-01	2026-08-01	218221	-267707.5357158126
2026-04-01	2026-09-01	213561	-252017.46196499444
2026-04-01	2026-10-01	209095	-211365.7574006297
2026-04-01	2026-11-01	204813	-133892.9376767656
2026-04-01	2026-12-01	200702	-77699.30662925367
2026-05-01	2026-06-01	247999	-222424.90928880195
2026-05-01	2026-07-01	241998	-248067.26817153906
2026-05-01	2026-08-01	236280	-207106.96802154218
2026-05-01	2026-09-01	230826	-191546.77248547168
2026-05-01	2026-10-01	225618	-149047.60809941334
2026-05-01	2026-11-01	220640	-66962.47359306354
2026-05-01	2026-12-01	215877	-7965.2268388678785
2026-06-01	2026-07-01	264287	-178810.61970205186
2026-06-01	2026-08-01	257482	-135958.10437818442
2026-06-01	2026-09-01	251019	-120822.84458616248
2026-06-01	2026-10-01	244872	-76428.69361486472
2026-06-01	2026-11-01	239019	10758.34125374863
2026-06-01	2026-12-01	233439	72740.83781324886
2026-07-01	2026-08-01	266494	-105716.69434339413
2026-07-01	2026-09-01	259576	-90850.14473236515
2026-07-01	2026-10-01	253009	-45739.43026464223
2026-07-01	2026-11-01	246765	43515.89425277745
2026-07-01	2026-12-01	240823	106670.24095394323
2026-08-01	2026-09-01	248225	-130605.7452052097
2026-08-01	2026-10-01	242213	-86456.99659764615
2026-08-01	2026-11-01	236485	42.844850613269955
2026-08-01	2026-12-01	231022	61631.14974766236
2026-09-01	2026-10-01	238573	-100187.8301271667
2026-09-01	2026-11-01	233013	-14637.62125022395
2026-09-01	2026-12-01	227708	46401.43207507313
2026-10-01	2026-11-01	222681	-58329.94598187669
2026-10-01	2026-12-01	217831	1013.1231753838947
2026-11-01	2026-12-01	200054	-80675.43314150744
